ID,year,test,theme,subtheme,portuguese,english,answer,responses_english_0,responses_english_1,responses_english_2,responses_english_3,responses_english_4,responses_english_5,responses_english_6,responses_english_7,responses_english_8,responses_english_9,responses_portuguese_0,responses_portuguese_1,responses_portuguese_2,responses_portuguese_3,responses_portuguese_4,responses_portuguese_5,responses_portuguese_6,responses_portuguese_7,responses_portuguese_8,responses_portuguese_9,responses_english,P-value_english,ratio_english,responses_portuguese,P-value_portuguese,ratio_portuguese
11,2022,Teórica I,Anatomia,cataract,"Com relação ao cristalino, assinale a alternativa correta.
a)Embora seu volume aumente com a idade, seu peso mantém-se constante.
b)A proteólise de suas fibras é o principal mecanismo de seu crescimento celular.
c)A síntese de suas proteínas processa-se durante a diferenciação da célula em fibra.
d)Sua síntese proteica é continua ao longo da vida, mantendo plasticidade e elasticidade estáveis da infância ao envelhecimento.","With regard to the lens, mark the correct alternative.
a) Although its volume increases with age, its weight remains constant.
b) The proteolysis of its fibers is the main mechanism of its cellular growth.
c) The synthesis of its proteins takes place during the differentiation of the cell into fiber.
d) Its protein synthesis is continuous throughout life, maintaining stable plasticity and elasticity from childhood to aging.
 ",c,d,d,d,d,d,d,d,d,d,d,c,c,c,c,c,c,c,c,c,d,d,5.133013955782584e-05,1.0,c,0.0007410104055591837,0.9
12,2022,Teórica I,Anatomia,retina,"Paciente com artrose faz uso de altas doses de cloroquina há anos. Acredita-se que essa droga pode causar mau funcionamento do epitélio pigmentar retiniano, uma vez que:
a)Impede a síntese de melanina.
b)Impede a fagocitose dos discos dos segmentos externos dos fotorreceptores.
c)Impede o transporte de íons intracelulares.
d)Favorece a intensa troca de calor entre os fotorreceptores e a coroide.","A patient with arthrosis has been using high doses of chloroquine for years. It is believed that this drug can cause malfunction of the retinal pigment epithelium, since:
a) It hinders the synthesis of melanin.
b) It hinders phagocytosis of the disks of the photoreceptor outer segments.
c) It hinders the transport of intracellular ions.
d) It favors intense heat exchange between the photoreceptors and the choroid.",b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,5.133013955782584e-05,1.0,b,5.133013955782584e-05,1.0
13,2022,Teórica I,Anatomia,retina,"Com relação ao fluxo sanguíneo na coroide, podemos afirmar:
a)É responsável por toda nutrição da retina.
b)É responsável por 95% da glicose consumida na parte interna da retina.
c)Participa da regulação térmica dos fotorreceptores.
d)Os esfíncteres pré-capilares previnem o hiperfluxo de sangue em áreas nobres como a mácula.","Regarding the blood flow in the choroid, it is possible to state:
a) It is responsible for all nutrition of the retina.
b) It is responsible for 95% of the glucose consumed in the inner part of the retina.
c)Participates in the thermal regulation of photoreceptors.
d) The pre-capillary sphincters prevent the hyperflow of blood in noble areas such as the macula.",c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,5.133013955782584e-05,1.0,b,5.133013955782584e-05,1.0
14,2022,Teórica I,Embriologia,retina,"Sobre a embriologia da coroide, é correto afirmar:
a)A coriocapilar é a primeira a se formar, com posterior formação dos grandes vasos.
b)A lâmina basal dá origem à membrana de Bruch que se situa entre o coriocapilar e a camada de Sattler.
c)A camada vascular intermediária é a última a se formar e desenvolve-se do corpo ciliar em direção ao equador.
d)O estroma da coroide é essencialmente produzido a partir de células do mesoderma.","Regarding the embryology of the choroid, it is correct to state:
a) The choriocapillaris is the first to be formed, with subsequent formation of the great vessels.
b) The basal lamina originate the Bruch's membrane, which lies between the choriocapillaris and Sattler's layer.
c) The intermediate vascular layer is the last to form and develops from the ciliary body towards the equator.
d) The choroidal stroma is essentially produced from mesoderm cells.",a,c,c,c,c,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,c,5.133013955782584e-05,1.0,b,5.133013955782584e-05,1.0
15,2022,Teórica I,Embriologia,retina,"Com relação à embriologia ocular, é correto afirmar:
a)O epitélio da córnea origina-se a partir das células da crista neural.
b)Ao nascimento, córnea e esclera apresentam o mesmo raio de curvatura.
c)A camada de Bowman surge entre o primeiro e o segundo mês de gestação.
d)A córnea desenvolve-se a partir da superfície ectodérmica e das células da crista neural.","Regarding ocular embryology, it is correct to state:
a) Corneal epithelium arises from neural crest cells.
b) At birth, the cornea and sclera have curvature radius.
c) Bowman's layer appears between the first and second month of pregnancy.
d) The cornea develops from the ectodermal surface and neural crest cells.",d,d,d,d,d,d,a,d,d} the cornea develops from the ectodermal surface and neural crest cells.,d,d,d,d,d,d,d,d,d,d,d,d,d,0.007048336371561326,0.8,d,5.133013955782584e-05,1.0
16,2022,Teórica I,Genética,,"Sobre as doenças de herança autossômica dominante, é correto afirmar:
a)Em geral, são observadas em várias gestações.
b)Os homens costumam ser mais afetados do que as mulheres.
c)A gravidade da doença é sempre a mesma entre as pessoas afetadas da mesma família.
d)Apenas as mulheres transmitem a mutação.","Regarding the autosomal dominant inheritance diseases, it is correct to state:
a) In general, they are observed in several gestations.
b) Men tend to be more affected than women.
c) The severity of the disease is always the same among affected people from the same family.
d) Only females transmit the mutation.",a,c,b,b,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0.043989589915272576,0.7,c,5.133013955782584e-05,1.0
17,2022,Teórica I,Genética,,"Sobre as doenças de padrão de herança mitocondrial, é correto afirmar:
a)Daltonismo é um exemplo de doença ligada ao DNA mitocondrial.
b)A herança ocorre apenas pela linhagem materna.
c)Pacientes do sexo masculino afetados pela doença, transmitirão o fenótipo para toda a prole.
d)A neuropatia óptica hereditária de Leber é um exemplo de doença ligada ao DNA mitocondrial, causa geralmente cegueira congênita e afeta na mesma proporção pacientes de ambos os sexos.","Regarding mitochondrial inheritance diseases, it is correct to state:
a) Daltonism is an example of a disease linked to mitochondrial DNA.
b) Inheritance occurs only through maternal lineage.
c) Male patients assisted by the disease will transmit the phenotype to all offspring.
d) Leber's hereditary optic neuropathy is an example of a disease linked to mitochondrial DNA, it usually causes congenital blindness and affects patients of both sexes in the same proportion.",b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,5.133013955782584e-05,1.0,d,5.133013955782584e-05,1.0
18,2022,Teórica I,Refração,,"Qual das lentes abaixo melhor corrige um astigmatismo miópico simples?
a)-3,00 dioptria esférica + 1,00 dioptria cilindrica X 90°.
b)+1,00 dioptria esférica -1,00 dioptria cilindrica X 90°.
c)-3,00 dioptria esférica + 3,00 dioptria cilindrica X 180°.
d)0,00 dioptria esférica +1,00 dioptria cilindrica X 180°.","Which of the lenses below best corrects simple myopic astigmatism?
a)-3.00 spherical diopter + 1.00 cylindrical diopter X 90°.
b) +1.00 spherical diopter -1.00 cylindrical diopter X 90°.
c)-3.00 spherical diopter + 3.00 cylindrical diopter X 180°.
d) 0.00 spherical diopter +1.00 cylindrical diopter X 180°.",c,b,b,b,b,b,b,b,b,b,b,a,c,a,b,b,c,a,c,c,c,b,5.133013955782584e-05,1.0,c,0.4752910833430205,0.5
19,2022,Teórica I,Refração,,"Qual é a distância focal do círculo de menor confusão no conoide de Sturm de uma lente esferocilíndrica de +1,00 DE +2,00 DC X 180°?
a)0 metros.
b)0,5 metros.
c)1 metros.
d)2 metros.","What is the focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens?
a) 0 m.
b) 0.5 m.
c) 1 m.
d) 2 m.",b,c,c,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,0.0007410104055591837,0.9,c,5.133013955782584e-05,1.0
20,2022,Teórica I,Refração,,"Um ponto objetivo situado a dois metros de uma lente convexa de 2 DE forma um ponto imagem a que distância da lente?
a)2,0 m.
b)1,5 m.
c)0,67 m.
d)0,4 m.","What is the focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens?
a) 0 meters.
b) 0.5 meters.
c) 1 meters.
d) 2 meters.",c,c,b,c,b,c,c,c,c,c,c,b,a,c,b,b,a,b,a,b,c,c,0.007048336371561326,0.8,b,0.4752910833430205,0.5
21,2022,Teórica I,Refração,,"Qual dos valores abaixo em logaritmo decimal (logMAR) corresponde a acuidade visual normal (1,0)?
a)-1.
b)0.
c)1.
d)2.","Which of the following values ​​in decimal logarithm (logMAR) corresponds to normal visual acuity (1.0)?
to 1.
b)0.
c)1.
d)2.",b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,5.133013955782584e-05,1.0,c,5.133013955782584e-05,1.0
22,2022,Teórica I,Refração,,"Qual o efeito óptico decorrente da interpolação de dois filtros polaroides perpendiculares entre si?
a)Transmissão reduzida em 50%.
b)Transmissão ampliada em 50%.
c)Ausência de transmissão luminosa.
d)Nenhuma perda de energia luminosa.","What is the optical effect resulting from the interpolation of two polaroid filters perpendicular to each other?
a) Transmission is reduced by 50%.
b) Transmission is increased by 50%.
c) Absence of light transmission.
d)No loss of light energy.",c,b,c,c,c,b,b,b,b,b,c} absence of light transmission.,c,c,b,b,b,c,b,c,b,a,b,0.17926780368434936,0.6,b,0.4752910833430205,0.5
23,2022,Teórica I,Refração,,"Em qual dos materiais abaixo a velocidade da luz é a menor?
a)Ar.
b)Diamante.
c)Vidro.
d)A velocidade da luz é constante independente do meio.","In which of the materials is the speed of light the lowest?
a) Air.
b) Diamond.
c) Glass.
d) The speed of light is constant regardless of the medium.",b,d,d,c,d,d,c,c,d,c,d,c,c,c,c,c,c,c,c,c,c,d,0.17926780368434936,0.6,c,5.133013955782584e-05,1.0
24,2022,Teórica I,Refração,,"Assinale a alternativa que corresponde a uma reflexão de um espelho convexo.
a)Ceratoscopia com disco de Plácido.
b)Espelho de barbear.
c)Espelho do dentista.
d)Farol refletor.","Mark the alternative that corresponds to a reflection from a convex mirror.
a) Keratoscopy with Placido disc.
b) Shaving mirror.
c) Dentist's mirror.
d) Reflector headlamp.",a,c,c,c,c,c,b,b,c,b,b,c,c,c,c,c,c,c,c,c,c,c,0.17926780368434936,0.6,c,5.133013955782584e-05,1.0
25,2022,Teórica I,Refração,,"Uma lente convergente foca a luz proveniente de uma fonte situada a 1 m a uma distância de 50 cm. Qual o poder desta lente?
a)+ 1 dioptria.
b)+ 2 dioptria.
c)+ 3 dioptria.
d)+ 4 dioptria.","
A converging lens focuses light from a source 1 m away at a distance of 50 cm. How powerful is this lens?
a) + 1 diopter.
b) + 2 diopter.
c) + 3 diopter.
d) + 4 diopter.",c,c,c,c,c,c,b,c,b,b,b,a,a,a,a,a,a,a,a,a,a,c,0.17926780368434936,0.6,a,5.133013955782584e-05,1.0
26,2022,Teórica I,Refração,,"Se fossemos medir o poder focal imagem da face posterior da córnea após sua retirada do globo ocular, teríamos um valor ao redor de (considere a curvatura anterior da córnea 7,7 mm; a curvatura posterior da córnea 6,8 mm; o índice de refração do estroma corneano 1,376 e o índice de refração do ar 1,00):
a)+ 5,00 Dioptrias.
b)0,00 Dioptrias.
c)- 5,00 Dioptrias.
d)- 55,00 Dioptrias.","If we were to measure the focal power of the image of the posterior surface of the cornea after its removal from the eyeball, we would have a value around (consider the anterior curvature of the cornea 7.7 mm; the posterior curvature of the cornea 6.8 mm; the index of corneal stroma refraction 1.376 and the refractive index of air 1.00):
a) + 5.00 Dioptres.
b) 0.00 Dioptres.
c)- 5.00 Dioptres.
d)- 55.00 Dioptres.",d,c,c,c,c,b,b,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,0.007048336371561326,0.8,c,0.0007410104055591837,0.9
27,2022,Teórica I,Refração,,"Ao reduzirmos a prescrição do cilindro em um paciente que não se adaptou a seus óculos com a seguinte prescrição -1,50 Diotria esferica < > -3,50 dioptria cilindrica X 180°, uma possível prescrição mantendo o equivalente esférico é:
a)- 2,50 dioptria esferica < > -2,50 dioptria cilindrica X 180°.
b)+1,50 dioptria esferica < > -2,50 dioptria cilindrica X 180°.
c)-4,50 dioptria esferica < > +2,50 dioptria cilindrica X 90°.
d)-2,50 dioptria esferica < > +3,00 dioptria cilindrica X 90°.","When reducing the cylinder prescription in a patient who did not adapt to his glasses with the following prescription -1.50 spherical diopter < > -3.50 cylindrical diopter X 180°, a possible prescription maintaining the spherical equivalent is:
a)- 2.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
b) +1.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
c) -4.50 spherical diopter < > +2.50 cylindrical diopter X 90°.
d) -2.50 spherical diopter < > +3.00 cylindrical diopter X 90°.a)- 2.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
b) +1.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
c) -4.50 spherical diopter < > +2.50 cylindrical diopter X 90°.
d) -2.50 spherical diopter < > +3.00 cylindrical diopter X 90°.",b,a,a,a,c,c,a,b,c,c,c,a,a,a,a,a,a,a,a,a,a,c,0.4752910833430205,0.5,a,5.133013955782584e-05,1.0
28,2022,Teórica I,Refração,,"Um raio de luz sofre desvio de 20 mm do eixo visual a uma distância de 50 cm de um prima. Qual é o poder do prisma em dioptrias-prismáticas?
a)0,4.
b)2,5.
c)4.
d)10.","A light ray is deviated by 20 mm from the visual axis at a distance of 50 cm from a prism. What is the power of the prism in diopters-prismatics?
a) 0.4.
b)2.5.
c)4.
d) 10.",c,b,b,b,b,b,b,c,c,b,c,b,c,b,c,b,c,b,c,b,b,b,0.043989589915272576,0.7,b,0.17926780368434936,0.6
29,2022,Teórica I,Refração,,"Considerando o olho esquemático de Gullstrand, qual a característica da imagem formada na retina?
a)Real, invertida.
b)Virtual, invertida.
c)Real, direta.
d)Virtual, direta.","
Considering Gullstrand's schematic eye, what is the characteristic of the image formed on the retina?
a) Real, inverted.
b) Virtual, inverted.
c) Real, direct.
d) Virtual, direct.",a,b,b,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,c,c,b,5.133013955782584e-05,1.0,c,5.133013955782584e-05,1.0
30,2022,Teórica I,Farmacologia,,"Assinale a alternativa que correlaciona corretamente as classes de antibacterianos aos seus respectivos principais sítios de ação.

I- Cefalosporinas
II- Tetraciclínicas
III- Quinolonas
IV- Macrolídeos

A- Síntese proteica (inibidor 30s)
B- Síntese proteica (inibidor 50s)
C- DNA girase
D- Síntese de parede celular

a)I: A; II: D; III: D; IV: B.
b)I: D; II: A; III: C; IV: B.
c)I: A; II: D; III: B; IV: C.
d)I: D; II: B; III: A; IV: C.","Mark the alternative that correctly correlates the classes of antibacterials to their respective main sites of action.

I- Cephalosporins
II- Tetracyclines
III- Quinolones
IV- Macrolides

A- Protein synthesis (30s inhibitor)
B- Protein synthesis (50s inhibitor)
C DNA gyrase
D- Cell wall synthesis

a) I: A; II: D; III: D; IV: b.
b)I:D; II: A; III: C; IV: b.
c) I: A; II: D; III: B; IV: c.
d)I:D; II: B; III: A; IV: c.",b,a,c,c,a,a,c,a,a,b,c,c,c,c,c,c,c,c,c,c,c,a,0.4752910833430205,0.5,c,5.133013955782584e-05,1.0
31,2022,Teórica I,Farmacologia,,"Paciente com síndrome Sjogren passou a ter melhoras dos seus sintomas orais (aumento da salivação) após o médico não-oftalmologista prescrever:
a)Brimonidina, todavia, evoluiu com miose puntiforme e baixa de visão.
b)Tetracaína, todavia, evoluiu com descolamento de retina tradicional.
c)Atropina, todavia, evoluiu com média medríase e dificuldades de acomodação.
d)Pilocarpina, todavia, evoluiu com espasmo acomodativo.","A patient with Sjogren's syndrome started to have improvements in his oral symptoms (increased salivation) after the non-ophthalmologist prescribed:
a) Brimonidine, however, evolved with punctiform miosis and low vision.
b) Tetracaine, however, evolved with traditional retinal detachment.
c) Atropine, however, evolved with medium medriasis and accommodation difficulties.
d) Pilocarpine, however, evolved with accommodative spasm.",d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,d,d,d,d,d,d,5.133013955782584e-05,1.0,d,0.0007410104055591837,0.9
32,2022,Teórica I,Farmacologia,,"Com relação ao uso de fator ativador do plasminogênio tecidual, é correto afirmar:
a)Essa medicação no espaço intracameral é proscrita.
b)A ativação da plasmina em plaminogênio ajuda na degradação do sangue.
c)A ativação do plasminogênio em plasmina ajuda na degradação do sangue.
d)Sua maior indicação é em sangramentos no espaço vítreo.","Regarding the use of tissue plasminogen activating factor, it is correct to state:
a) This medication in the intracameral space is proscribed.
b) Activation of plasmin into plaminogen helps in the degradation of blood.
c) Activation of plasminogen to plasmin helps in the degradation of blood.
d) Its main indication is in bleeding in the vitreous space.",c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,5.133013955782584e-05,1.0,c,5.133013955782584e-05,1.0
33,2022,Teórica I,Glaucoma,,"Com relação ao uso de mitomicina-C na trabeculectomia, é correto afirmar:
a)Por ser um análogo da pirimidina, sua ação decorre do bloqueio da síntese de timina, evitando a produção de DNA/RNA.
b)Afinamento escleral, bolha avascular, dor pós-operatória e edema de córnea são complicações relacionadas ao seu uso.
c)Nas gestantes, a concentração deve ser aumentada pela maior tendência à fibrose.
d)Não deve ser usada em pacientes melanodérmicos.","Regarding the use of mitomycin-C in trabeculectomy, it is correct to state:
a) Because it is a pyrimidine analogue, its action stems from the blockage of thymine synthesis, preventing the production of DNA/RNA.
b) Scleral thinning, avascular bleb, postoperative pain and corneal edema are complications related to its use.
c) In pregnant women, the concentration should be increased due to a greater tendency to fibrosis.
d) It should not be used in melanodermic patients.",b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,b,5.133013955782584e-05,1.0,a,5.133013955782584e-05,1.0
34,2022,Teórica I,Retina,,"Paciente com retinopatia diabética proliferativa complementará seu tratamento com anti-VEGF intravítreo. Podemos afirmar que:
a)Deve-se priorizar a inibição das isoformas B do VEGF, uma vez que são as principais formadoras de neovasos.
b)O ranibizumabe inibe todas as isoformas do VEGF-B, mas não as de VEGF-A.
c)O bevacizumabe não permite que as isoformas de VEFG-A se liguem aos seus receptores.
d)O uso de pegaptanibe não é mais utilizado, pois a droga não penetra nas camadas da retina.","Patients with proliferative diabetic retinopathy will complement their treatment with intravitreal anti-VEGF. We can state that:
a) Priority should be given to the inhibition of the B isoforms of VEGF, since they are the main new vessel formers.
b)Ranibizumab inhibits all VEGF-B isoforms, but not VEGF-A.
c) Bevacizumab does not allow VEGF-A isoforms to bind to their receptors.
d) The use of pegaptanib is no longer used, as the drug does not penetrate the retinal layers.",c,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,0.0007410104055591837,0.9,a,0.0007410104055591837,0.9
35,2022,Teórica I,Oncologia,,"Considerando os tumores conjuntivais, a presença de qual parâmetro abaixo é utilizado para a diferenciação entre displasia da conjuntiva e carcinoma invasivo?
a)Atipia celular.
b)Envolvimento da espessura total epitelial.
c)Aumento do número de nucleolos atípicos.
d)Invasão da membrana basal.","Considering conjunctival tumors, the presence of which parameter below is used to differentiate between conjunctival dysplasia and invasive carcinoma?
a) Cellular atypia.
b) Involvement of the epithelial full thickness.
c)Increase in the number of atypical nucleoli.
d) Invasion of the basement membrane.
 ",d,b,d,d,d,d,d,d,d,d,d,b,b,b,b,b,b,b,b,b,b,d,0.0007410104055591837,0.9,b,5.133013955782584e-05,1.0
