ID,year,test,theme,subtheme,portuguese,english,answer,responses_english,reasoning_english,responses_portuguese,reasoning_portuguese
17,2022,Teórica I,Genética,,"Sobre as doenças de padrão de herança mitocondrial, é correto afirmar:
a)Daltonismo é um exemplo de doença ligada ao DNA mitocondrial.
b)A herança ocorre apenas pela linhagem materna.
c)Pacientes do sexo masculino afetados pela doença, transmitirão o fenótipo para toda a prole.
d)A neuropatia óptica hereditária de Leber é um exemplo de doença ligada ao DNA mitocondrial, causa geralmente cegueira congênita e afeta na mesma proporção pacientes de ambos os sexos.","Regarding mitochondrial inheritance diseases, it is correct to state:
a) Daltonism is an example of a disease linked to mitochondrial DNA.
b) Inheritance occurs only through maternal lineage.
c) Male patients assisted by the disease will transmit the phenotype to all offspring.
d) Leber's hereditary optic neuropathy is an example of a disease linked to mitochondrial DNA, it usually causes congenital blindness and affects patients of both sexes in the same proportion.",B,B,"Mitochondrial inheritance diseases are passed on through the maternal lineage. This is because the mitochondria in the sperm are destroyed during fertilization, leaving only the mitochondria from the egg to be passed on to the offspring.",B,"As doenças de herança mitocondrial são transmitidas apenas pela linhagem materna, pois o espermatozoide contribui apenas com o DNA nuclear para o zigoto, enquanto o óvulo contribui com o DNA nuclear e mitocondrial."
18,2022,Teórica I,Refração,,"Qual das lentes abaixo melhor corrige um astigmatismo miópico simples?
a)-3,00 dioptria esférica + 1,00 dioptria cilindrica X 90°.
b)+1,00 dioptria esférica -1,00 dioptria cilindrica X 90°.
c)-3,00 dioptria esférica + 3,00 dioptria cilindrica X 180°.
d)0,00 dioptria esférica +1,00 dioptria cilindrica X 180°.","Which of the lenses below best corrects simple myopic astigmatism?
a)-3.00 spherical diopter + 1.00 cylindrical diopter X 90°.
b) +1.00 spherical diopter -1.00 cylindrical diopter X 90°.
c)-3.00 spherical diopter + 3.00 cylindrical diopter X 180°.
d) 0.00 spherical diopter +1.00 cylindrical diopter X 180°.",C,A,Simple myopic astigmatism is a condition where one meridian of the eye is myopic (nearsighted) and the other is emmetropic (normal). This condition is corrected with a lens that has a negative spherical diopter (for the myopic meridian) and a positive cylindrical diopter (for the astigmatism). The lens in option A (-3.00 spherical diopter + 1.00 cylindrical diopter X 90°) meets these requirements.,A,"Astigmatismo miópico simples é uma condição em que o olho tem um foco mais curto em um meridiano do que o outro. Isso é corrigido com uma lente que tem uma dioptria esférica negativa (para corrigir a miopia) e uma dioptria cilíndrica positiva (para corrigir o astigmatismo). A opção A, -3,00 dioptria esférica + 1,00 dioptria cilindrica X 90°, fornece essa correção."
19,2022,Teórica I,Refração,,"Qual é a distância focal do círculo de menor confusão no conoide de Sturm de uma lente esferocilíndrica de +1,00 DE +2,00 DC X 180°?
a)0 metros.
b)0,5 metros.
c)1 metros.
d)2 metros.","What is the focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens?
a) 0 m.
b) 0.5 m.
c) 1 m.
d) 2 m.",B,C,"The focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens is 1 m. This is because the focal length of a lens is the reciprocal of its power in diopters. In this case, the power of the lens is +1.00 D, so the focal length is 1/1.00 = 1 m.",A,"The circle of least confusion in the Sturm's conoid of a spherocylindrical lens of +1.00 DS +2.00 DC X 180° is at the focal point of the lens. Since the lens is a spherocylindrical lens with a power of +1.00 DS, the focal distance is 1/1.00 = 1 meter. However, the circle of least confusion is at the point where the two focal lines intersect, which is at the lens itself. Therefore, the distance is 0 meters."
20,2022,Teórica I,Refração,,"Um ponto objetivo situado a dois metros de uma lente convexa de 2 DE forma um ponto imagem a que distância da lente?
a)2,0 m.
b)1,5 m.
c)0,67 m.
d)0,4 m.","What is the focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens?
a) 0 meters.
b) 0.5 meters.
c) 1 meters.
d) 2 meters.",C,C,"The focal length of the circle of least confusion on Sturm's conoid of a +1.00 OD +2.00 DC X 180° spherocylindrical lens is 1 meter. This is because the focal length of a lens is the reciprocal of its power in diopters. In this case, the power of the lens is +1.00 D, so the focal length is 1/1.00 = 1 meter.",C,"A distância da imagem pode ser calculada usando a fórmula da lente fina, que é 1/f = 1/v - 1/u. Aqui, f é a distância focal da lente (2m), u é a distância do objeto à lente (2m) e v é a distância da imagem à lente. Resolvendo para v, obtemos v = 0,67 m."
21,2022,Teórica I,Refração,,"Qual dos valores abaixo em logaritmo decimal (logMAR) corresponde a acuidade visual normal (1,0)?
a)-1.
b)0.
c)1.
d)2.","Which of the following values ​​in decimal logarithm (logMAR) corresponds to normal visual acuity (1.0)?
to 1.
b)0.
c)1.
d)2.",B,B,Normal visual acuity (1.0) corresponds to a decimal logarithm (logMAR) value of 0.,B,"A acuidade visual normal (1,0) corresponde a um valor logMAR de 0. O logMAR é uma escala que é usada para quantificar a acuidade visual. Um valor de 0 indica uma visão normal, enquanto valores positivos indicam uma visão pior do que o normal e valores negativos indicam uma visão melhor do que o normal."
22,2022,Teórica I,Refração,,"Qual o efeito óptico decorrente da interpolação de dois filtros polaroides perpendiculares entre si?
a)Transmissão reduzida em 50%.
b)Transmissão ampliada em 50%.
c)Ausência de transmissão luminosa.
d)Nenhuma perda de energia luminosa.","What is the optical effect resulting from the interpolation of two polaroid filters perpendicular to each other?
a) Transmission is reduced by 50%.
b) Transmission is increased by 50%.
c) Absence of light transmission.
d)No loss of light energy.",C,C,"When two polaroid filters are perpendicular to each other, they block all light transmission. This is because the first filter polarizes the light in one direction, and the second filter, being perpendicular to the first, blocks this polarized light.",C,"Quando dois filtros polaroides são perpendiculares entre si, eles bloqueiam toda a luz, resultando em ausência de transmissão luminosa."
23,2022,Teórica I,Refração,,"Em qual dos materiais abaixo a velocidade da luz é a menor?
a)Ar.
b)Diamante.
c)Vidro.
d)A velocidade da luz é constante independente do meio.","In which of the materials is the speed of light the lowest?
a) Air.
b) Diamond.
c) Glass.
d) The speed of light is constant regardless of the medium.",B,B,"The speed of light is slowest in diamond because it has a high refractive index, which means light travels slower through it than through other materials like air or glass.",B,A velocidade da luz é mais lenta em materiais com um índice de refração mais alto. O diamante tem o índice de refração mais alto entre as opções listadas.
24,2022,Teórica I,Refração,,"Assinale a alternativa que corresponde a uma reflexão de um espelho convexo.
a)Ceratoscopia com disco de Plácido.
b)Espelho de barbear.
c)Espelho do dentista.
d)Farol refletor.","Mark the alternative that corresponds to a reflection from a convex mirror.
a) Keratoscopy with Placido disc.
b) Shaving mirror.
c) Dentist's mirror.
d) Reflector headlamp.",A,C,A dentist's mirror is a convex mirror. Convex mirrors are used because they give an upright image and provide a wider field of view as they are diverging mirrors.,C,"Um espelho convexo é um espelho que diverge a luz, produzindo uma imagem virtual, direita e menor. Eles são comumente usados em consultórios dentários para visualizar a boca do paciente de diferentes ângulos."
25,2022,Teórica I,Refração,,"Uma lente convergente foca a luz proveniente de uma fonte situada a 1 m a uma distância de 50 cm. Qual o poder desta lente?
a)+ 1 dioptria.
b)+ 2 dioptria.
c)+ 3 dioptria.
d)+ 4 dioptria.","
A converging lens focuses light from a source 1 m away at a distance of 50 cm. How powerful is this lens?
a) + 1 diopter.
b) + 2 diopter.
c) + 3 diopter.
d) + 4 diopter.",C,b,"The power of a lens is given by the formula P = 1/f, where f is the focal length of the lens. In this case, the lens focuses light from a source 1 m away at a distance of 50 cm, so the focal length is 50 cm or 0.5 m. Therefore, the power of the lens is P = 1/0.5 = 2 diopters.",b,"O poder de uma lente é dado pela fórmula 1/f, onde f é a distância focal da lente. Neste caso, a distância focal é de 50 cm ou 0,5 m. Portanto, o poder da lente é 1/0,5 = 2 dioptrias."
26,2022,Teórica I,Refração,,"Se fossemos medir o poder focal imagem da face posterior da córnea após sua retirada do globo ocular, teríamos um valor ao redor de (considere a curvatura anterior da córnea 7,7 mm; a curvatura posterior da córnea 6,8 mm; o índice de refração do estroma corneano 1,376 e o índice de refração do ar 1,00):
a)+ 5,00 Dioptrias.
b)0,00 Dioptrias.
c)- 5,00 Dioptrias.
d)- 55,00 Dioptrias.","If we were to measure the focal power of the image of the posterior surface of the cornea after its removal from the eyeball, we would have a value around (consider the anterior curvature of the cornea 7.7 mm; the posterior curvature of the cornea 6.8 mm; the index of corneal stroma refraction 1.376 and the refractive index of air 1.00):
a) + 5.00 Dioptres.
b) 0.00 Dioptres.
c)- 5.00 Dioptres.
d)- 55.00 Dioptres.",D,C,"The focal power of the posterior surface of the cornea after its removal from the eyeball would be negative because the light would diverge after passing through the cornea. The exact value would depend on the specific measurements and indices of refraction given, but -5.00 Dioptres is the closest option.",A,"The power of the posterior surface of the cornea is calculated using the formula: (n2-n1)/r. Where n2 is the refractive index of the second medium (air in this case), n1 is the refractive index of the first medium (corneal stroma in this case) and r is the radius of curvature of the posterior corneal surface. Substituting the given values into the formula gives a result of approximately +5.00 Diopters."
27,2022,Teórica I,Refração,,"Ao reduzirmos a prescrição do cilindro em um paciente que não se adaptou a seus óculos com a seguinte prescrição -1,50 Diotria esferica < > -3,50 dioptria cilindrica X 180°, uma possível prescrição mantendo o equivalente esférico é:
a)- 2,50 dioptria esferica < > -2,50 dioptria cilindrica X 180°.
b)+1,50 dioptria esferica < > -2,50 dioptria cilindrica X 180°.
c)-4,50 dioptria esferica < > +2,50 dioptria cilindrica X 90°.
d)-2,50 dioptria esferica < > +3,00 dioptria cilindrica X 90°.","When reducing the cylinder prescription in a patient who did not adapt to his glasses with the following prescription -1.50 spherical diopter < > -3.50 cylindrical diopter X 180°, a possible prescription maintaining the spherical equivalent is:
a)- 2.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
b) +1.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
c) -4.50 spherical diopter < > +2.50 cylindrical diopter X 90°.
d) -2.50 spherical diopter < > +3.00 cylindrical diopter X 90°.a)- 2.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
b) +1.50 spherical diopter < > -2.50 cylindrical diopter X 180°.
c) -4.50 spherical diopter < > +2.50 cylindrical diopter X 90°.
d) -2.50 spherical diopter < > +3.00 cylindrical diopter X 90°.",B,A,"The spherical equivalent of a prescription is calculated by adding half of the cylinder power to the sphere power. In this case, the original prescription has a spherical equivalent of -3.25D (-1.5D + (-3.5D/2)). Option A maintains this spherical equivalent (-2.5D + (-2.5D/2) = -3.25D).",A,"A prescrição original tem um equivalente esférico de -3,25 dioptrias (calculado como a soma da dioptria esférica e metade da dioptria cilíndrica). A opção A mantém o mesmo equivalente esférico (-2,50 + -0,75 = -3,25) enquanto reduz a dioptria cilíndrica, o que pode ajudar o paciente a se adaptar aos óculos."
28,2022,Teórica I,Refração,,"Um raio de luz sofre desvio de 20 mm do eixo visual a uma distância de 50 cm de um prima. Qual é o poder do prisma em dioptrias-prismáticas?
a)0,4.
b)2,5.
c)4.
d)10.","A light ray is deviated by 20 mm from the visual axis at a distance of 50 cm from a prism. What is the power of the prism in diopters-prismatics?
a) 0.4.
b)2.5.
c)4.
d) 10.",C,a,"The power of a prism in prism diopters (Δ) is calculated by the formula Δ = 100 * d / L, where d is the deviation in millimeters and L is the distance in centimeters. Substituting the given values, Δ = 100 * 20 / 50 = 40, which is equivalent to 0.4 diopters-prismatics.",A,"O poder prismático é calculado pela fórmula: Desvio / Distância. Neste caso, o desvio é de 20 mm e a distância é de 50 cm ou 500 mm. Portanto, o poder prismático é 20/500 = 0,04 dioptrias-prismáticas, que é igual a 0,4 dioptrias-prismáticas quando multiplicado por 10."
